input,answer
"When igneous rock is changed into metamorphic rock, which form of energy is this process?
A. heat
B. chemical
C. magnetic
D. light",A
"In humans, the digestion process begins in
A. the intestine, with squeezing.
B. the mouth, with chewing and saliva.
C. the stomach, with churning and acid.
D. the esophagus, with pushing towards the stomach.",B
"Which of these items contains only a solution?
A. a jar of pickles
B. a bottle of juice
C. a bag of peanuts
D. a can of mixed fruit",B
"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?
A. chemical weathering
B. mechanical weathering
C. water erosion
D. wind erosion",A
"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?
A. It would be mostly light brown beetles.
B. It would be mostly dark green beetles.
C. It would be mostly carnivorous beetles.
D. It would be mostly very large beetles.",A
"A scientist wanting to document a change in a river's flow pattern should observe a river over a period of
A. days.
B. weeks.
C. months.
D. years.",D
"Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing
A. air pollution.
B. heat pollution.
C. noise pollution.
D. light pollution.",A
"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?
A. an increased loudness of sound
B. a reflection of sound
C. an increased frequency of sound
D. a refraction of sound",B
"Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?
A. chemical
B. nuclear
C. magnetic
D. electrical",A
"A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?
A. conduction
B. convection
C. radiation
D. transformation",C
"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?
A. both red
B. both white
C. one red and one white
D. one white and one pink",B
"Scientists use the term ""light year"" to describe
A. how fast light travels in space.
B. the distance light travels in one year.
C. how large the diameters of different stars are.
D. the time it takes the Sun to move through the galaxy.",B
"Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?
A. convergent
B. subduction
C. transform
D. divergent",D
"Which group of organisms can show significant trait changes in the shortest period of time?
A. bacteria
B. birds
C. fish
D. reptiles",A
"Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?
A. to attract bees for pollination
B. to create flower arrangements
C. to protect the tree from disease
D. to feed migratory birds",A
